SR,Township,Village,Village_MM,Location,Locals_Used_ENG,Locals_Used_MM
152,Chin,Falam,Laizawl,လိုင်းဇောလ်,"23.114839553833,93.4772033691406",0,0
153,Chin,Falam,Palte,ပါလ်သဲ,",",0,0
154,Chin,Falam,Baila,ဘိုင်လာ,"22.8976097106934,93.6745376586914",0,0
155,Chin,Falam,Kalrawn,ကာလ်ရွန်,"22.8882808685303,93.6653671264648",0,0
156,Chin,Falam,Laizo,လိုင်ဇိုး,"22.891040802002,93.6632385253906",0,0
157,Chin,Falam,Thanhnair (Lower),ထန်နှိရ် (အောက်),"22.8940601348877,93.6701736450195",0,0
158,Chin,Falam,Thanhnair (Upper),ထန်နှိရ် (ထက်),"22.9032001495361,93.6607666015625",0,0
159,Chin,Falam,Zalai,ဇာလိုင်,"22.8891906738281,93.65966796875",0,0
160,Chin,Falam,Kulzam,ကူလ်ဇမ်း,"23.0223407745361,93.6699066162109",0,0
161,Chin,Falam,Lati,လာသီး,"23.0223503112793,93.6758728027344",0,0
162,Chin,Falam,Lenhai,လဲင်ဟိုင်,"22.8281307220459,93.7241592407227",0,0
163,Chin,Falam,Tikual,သီးကွာလ်,"22.8182392120361,93.7030792236328",0,0
164,Chin,Falam,Lente,လဲင်သဲ,"22.8700103759766,93.7178802490234",0,0
165,Chin,Falam,Nganzawl,ငန်ဇောလ်,"22.884069442749,93.7099761962891",0,0
166,Chin,Falam,Sumhrang,ဆွမ်ဟရန်,"22.8390318,93.6921305",0,0
167,Chin,Falam,Vomthauk,ဗွမ်ထုတ်,"22.8603191375732,93.6941909790039",0,0
168,Chin,Falam,Lianrih,လျန်ရိ,"22.9175746,93.7738967",0,0
169,Chin,Falam,Ngaizam,ငိုင်ဇမ်း,"22.9130592346191,93.7573471069336",0,0
170,Chin,Falam,Lochum,လိုကြွမ်း,"22.9723796844482,93.7574462890625",0,0
171,Chin,Falam,Losau,လိုဆာအို,"23.0453796386719,93.5902862548828",0,0
172,Chin,Falam,Lumbang,လုံဘန်း,"23.00172996521,93.6952209472656",0,0
173,Chin,Falam,Parte,ပါရ်သဲ,"22.9949398040771,93.6840667724609",0,0
174,Chin,Falam,Lumte,လုမ်သဲ,"22.9556253,93.7838314",0,0
175,Chin,Falam,Taung Hteik Sa Khan,တောင်ထိပ်စခန်း,"22.9794101,93.8003658",0,0
176,Chin,Falam,Farso,ဖားဆို,"23.0583190917969,93.7436218261719",0,0
177,Chin,Falam,Khuaimual,ခွဲမွာလ်,"23.0409216,93.7102854",0,0
178,Chin,Falam,Lunghawh,လုံးဟော့,"23.0303401947021,93.7310409545898",0,0
179,Chin,Falam,Tuphei,သူးဖယ်,"23.0596588,93.7281945",0,0
180,Chin,Falam,Lunkhua,လွန်ခွာ,"23.0207595825195,93.574333190918",0,0
181,Chin,Falam,Simzawl,ဆိမ်ဇောလ်,",",0,0
182,Chin,Falam,Mangkheng,မန်ခင်း,"22.8477802276611,93.6442337036133",0,0
183,Chin,Falam,Tiphir,သီးဖီရ်,"22.8303298950195,93.6726303100586",0,0
184,Chin,Falam,Khuaval,ခေါ်ဗာလ်,"22.8982601165771,93.8284530639648",0,0
185,Chin,Falam,Murang,မူရန်း,"22.8969497680664,93.8460311889648",0,0
186,Chin,Falam,Cawmpi,ကြောမ်းပီး,"23.0589504241943,93.5035781860352",0,0
187,Chin,Falam,Khiangrawn,ခိယန်းရွန်,"23.0603008270264,93.5139236450195",0,0
188,Chin,Falam,Ngalti,ငါလ်သီး,"23.0422306060791,93.5093536376953",0,0
189,Chin,Falam,Belawi,ဘဲလွယ်,"23.108850479126,93.6668472290039",0,0
190,Chin,Falam,N.Hmunpi,မွန်ပီး,"23.131160736084,93.6767272949219",0,0
191,Chin,Falam,Ngamual,ငါမွာလ်,"23.1253204345703,93.6653671264648",0,0
192,Chin,Falam,Suangdo,​ဆွောင်းဒို,"23.1216602325439,93.6640930175781",0,0
193,Chin,Falam,Phaizawl,ဖိုင်ဇော်လ်,"23.0830192565918,93.7110290527344",0,0
194,Chin,Falam,Khaute,ခါအိုသဲ,"22.9860095977783,93.5707702636719",0,0
195,Chin,Falam,Lianduh,လျန်ဒို့,"22.9825496673584,93.5816116333008",0,0
196,Chin,Falam,Rallang,ရာလ်လန်,"22.9759667,93.58018",0,0
197,Chin,Falam,Rallawn,ရာလ်လောန်,"22.8261108398438,93.81201171875",0,0
198,Chin,Falam,Simpi,ဆိမ်ပီး,"22.8350296020508,93.777458190918",0,0
199,Chin,Falam,Zomual,ဇိုမွာလ်,"22.8279649,93.7241665",0,0
200,Chin,Falam,Dokthek,​ဒေါထက်,"22.8046092987061,93.5659866333008",0,0
201,Chin,Falam,Ramthlo,ရမ်ထလို,"22.8254508972168,93.5601196289063",0,0
202,Chin,Falam,Relsing,ရဲလ်စိန်း,"22.9381694793701,93.6379470825195",0,0
203,Chin,Falam,Tlangzar,တလန်ဇား,"22.8466491699219,93.5453872680664",0,0
204,Chin,Falam,Rulbu,ရုလ်ဘူး,"22.8818092346191,93.4958267211914",0,0
205,Chin,Falam,Saek,ဆအက်,"23.2191696166992,93.4477462768555",0,0
206,Chin,Falam,Siallam,ရှာလ်လမ်,"23.1975708007813,93.4499893188477",0,0
207,Chin,Falam,Saihmun,ဆိုင်မွန်,"23.1849308013916,93.554313659668",0,0
208,Chin,Falam,Satawm,စတောမ်,"23.1530990600586,93.4374389648438",0,0
209,Chin,Falam,Khiangzang,ခိယန်းဇန်,"23.0497303009033,93.5682983398438",0,0
210,Chin,Falam,Seipi,ဆယ်ပီး,"23.0638103485107,93.5586471557617",0,0
211,Chin,Falam,Leilet,လေးလက်,"23.1198692321777,93.3818969726563",0,0
212,Chin,Falam,Selawn,ဆယ်လောန်,"23.0883102416992,93.3883438110352",0,0
213,Chin,Falam,Sim/Dihai,ဆိမ် / ဒီဟိုင်,"23.0181999206543,93.604377746582",0,0
214,Chin,Falam,Lungbum,လုံးဘုမ်း,"23.0423793792725,93.6746978759766",0,0
215,Chin,Falam,Simzawl,ဆိမ်ဇောလ်,"23.047830581665,93.6858367919922",0,0
216,Chin,Falam,Singai,စီငိုင်,"23.0773506164551,93.4042510986328",0,0
217,Chin,Falam,Tlangkawi,တလန်ကွေး,"23.0931091308594,93.4098205566406",0,0
218,Chin,Falam,Sunthla (Haung),ဆွန်းတလား (ဟောင်း),"22.9220008850098,93.6331329345703",0,0
219,Chin,Falam,Sunthla (New),ဆွန်းတလား (သစ်),"22.9050197601318,93.635871887207",0,0
220,Chin,Falam,Taal,တားလ်,"22.8657493591309,93.5635528564453",0,0
221,Chin,Falam,Thlanrawn,တလန်ရောန်,"22.8587207794189,93.5930328369141",0,0
222,Chin,Falam,Taisum,တာရွန်,"22.933219909668,93.7068786621094",0,0
223,Chin,Falam,Khuabuar,​ခေါ်ဘွာရ်,",",0,0
224,Chin,Falam,Thungthul,ထုံးထုလ်,"22.8657064,93.7653749",0,0
225,Chin,Falam,Lungtar,လုံသာရ်,"22.9108009338379,93.4783706665039",0,0
226,Chin,Falam,Tiahdai,တျဒိုင်,"22.9078407287598,93.4675674438477",0,0
227,Chin,Falam,Bualte,ဘွာလ်သဲ,"23.11669921875,93.4491424560547",0,0
228,Chin,Falam,Tibual,သီးဘွာလ်,"23.1284198760986,93.4497528076172",0,0
229,Chin,Falam,Hmunluah,မွှန်လွှ,"23.2856407165527,93.4610137939453",0,0
230,Chin,Falam,Khuaimual,ခွဲမွာလ်,"23.24342918396,93.4972763061523",0,0
231,Chin,Falam,Ticirh,သီးကျိရ်,"23.2560997009277,93.4673919677734",0,0
232,Chin,Falam,Tili,သီးလီ,"22.8959742,93.6002003",0,0
233,Chin,Falam,Tlangkhan,တလန်ခန်,"22.8925094604492,93.5816421508789",0,0
234,Chin,Falam,Lawitlang,လွယ်တလန်း,"23.0867615,93.4994548",0,0
235,Chin,Falam,Lotharawn,လိုထရွန်,"23.0854301452637,93.5093078613281",0,0
236,Chin,Falam,Lumte,လုမ်သဲ,"23.1023853,93.5034469",0,0
237,Chin,Falam,Tilum,သီးလုမ်,"23.0917701721191,93.4979476928711",0,0
238,Chin,Falam,Phunte,ဖွန်သဲ,"23.255689,93.4087847",0,0
239,Chin,Falam,Surbung,ဆူရ်းဘုန်,"23.2328205108643,93.4309768676758",0,0
240,Chin,Falam,Tingcang,ထိန်းစာန်း,"23.237699508667,93.4191665649414",0,0
241,Chin,Falam,Tisen,သီးဆဲင်း,"23.1273307800293,93.7645034790039",0,0
242,Chin,Falam,Wai Lu Wun Sa Khan,ဝေဠုဝန်စခန်း,"23.1276321,93.7492444",0,0
243,Chin,Falam,Thlancing,ထလန်ကျိန်,"23.0670509338379,93.5792388916016",0,0
244,Chin,Falam,Bualhrei,ဘွလ်ဟရဲ,"23.1001396179199,93.4552230834961",0,0
245,Chin,Falam,Fartlang,ဖာရ်တလန်း,"23.077880859375,93.4540634155273",0,0
246,Chin,Falam,Hmuntha,မွှန်သား,"23.0807304382324,93.4484329223633",0,0
247,Chin,Falam,Tlangzawl,တလန်ဇောလ်,"23.079080581665,93.4649124145508",0,0
248,Chin,Falam,Vomhalkhum,ဗွမ်ဟာလ်ခုမ်း,"23.0724105834961,93.4514007568359",0,0
249,Chin,Falam,Zawlte,ဇောလ်သဲ,"23.0484199523926,93.4694137573242",0,0
250,Chin,Falam,Tlauhmun,ကလောမွန်,"22.9592208862305,93.566162109375",0,0
251,Chin,Falam,Tlortang,​တောရ်သန်း,"22.9421401,93.8501395",0,0
252,Chin,Falam,Tlorzan,တောရ်ဇန်,"22.9263706207275,93.8850708007813",0,0
253,Chin,Falam,Vangva,ဗန်ဗား,"23.1529006958008,93.4652786254883",0,0
254,Chin,Falam,Kin Mun Chaung,ကင်မွန်းချောင်း,"23.1273193359375,93.9692535400391",0,0
255,Chin,Falam,Mualzawl,မွာလ်ဇောလ်,"22.9845294952393,93.9225769042969",0,0
256,Chin,Falam,Webula,ဝေဘူလ,"23.0169792175293,93.911491394043",0,0
257,Chin,Falam,Kawlfang,ကောက်ဖန်း,"23.0490398406982,93.8923263549805",0,0
258,Chin,Falam,Kimniang,ကင်ညောင်,"23.0593299865723,93.8929290771484",0,0
