Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
3 in 1 PDF,25 June 2022,6 January 2023,PDF,3,4,0,0,44,3
Anonymous Special Task Force,9 October 2022,7 June 2023,PDF,2,10,0,0,13,0
Bagan Ogre Force,8 August 2022,2 July 2023,PDF,4,15,0,12,17,1
Daung Ni Column,15 October 2022,18 April 2023,PDF,3,6,0,0,31,0
Farmers Revolution Force - SGG,18 September 2022,10 May 2023,PDF,4,11,0,2,20,0
Khut Daung Ni PDF,15 December 2022,25 March 2023,PDF,3,7,2,0,27,1
PNA/PNO - Pa-O National Army/ Pa-O National Organization,28 May 2022,23 May 2023,EAO,3,14,1,0,13,1
Red Star PDF,7 December 2022,14 June 2023,PDF,2,8,0,0,17,0
Sekkyar PDF,18 September 2022,17 May 2023,PDF,2,7,0,2,24,1
Tamu District PDF,23 March 2023,22 June 2023,PDF,1,10,0,0,15,1
Tanintharyi Guerrilla Force,1 June 2022,26 June 2023,PDF,3,14,3,1,18,0
Wild Elephant,13 May 2022,26 July 2022,PDF,2,3,0,0,13,2
Dawei District PDF,26 June 2022,11 June 2023,PDF,3,11,0,1,16,2
MRDF,17 October 2022,23 March 2023,PDF,3,5,0,0,4,0
PKU North PDF,15 May 2022,11 June 2023,PDF,2,4,0,0,7,3
Skylark PDF,21 October 2022,19 May 2023,PDF,1,4,0,0,5,0
Taung Dwin Bo Gyoke Thway PDF,8 December 2022,29 December 2022,PDF,2,4,0,0,5,0
Taung Dwin Dragon PDF,8 December 2022,29 December 2022,PDF,2,4,0,0,5,0
The Brightness - Monywa,9 October 2022,29 May 2023,PDF,2,9,0,0,22,0
Yan Baluu PDF,4 May 2022,26 December 2022,PDF,2,8,0,1,10,0
MTOF Group,8 February 2022,19 September 2022,PDF,1,6,0,1,25,0
Myaing Fighter PDF,11 June 2022,1 June 2023,PDF,4,5,0,0,3,0
Nyaung Yan PDF,15 May 2022,16 August 2022,PDF,1,10,0,0,11,0
Peace Takers Task Force-PTTF,9 October 2022,6 July 2023,PDF,2,8,0,0,19,0
Red Kite PDF,8 June 2022,7 November 2022,PDF,2,5,0,0,15,2
Satkyar Local PDF,25 November 2022,28 January 2023,PDF,1,7,0,1,14,0
Southern Special Commando Battalion,18 May 2023,20 June 2023,PDF,4,7,0,0,31,0
Taung Dwin PDF,10 May 2022,2 March 2023,PDF,1,13,0,0,26,2
Bandula PDF,17 May 2022,3 July 2023,PDF,4,6,0,0,9,2
CDF-Zotung,7 July 2022,24 February 2023,PDF,3,11,0,0,35,0
Hero Army Khin U,24 July 2022,20 January 2023,PDF,2,6,0,0,27,0
Prey Kite ShweBo (LDF),23 July 2022,21 October 2022,PDF,1,3,0,0,6,3
Si Taw Gyi PDF,15 July 2022,26 March 2023,PDF,3,6,0,0,23,0
Thayetchaung PDF,15 November 2022,12 June 2023,PDF,2,10,0,2,8,0
Thunder PDF,28 May 2022,10 May 2023,PDF,5,8,0,0,53,2
Urban Hunter Force (UHF),25 November 2022,25 June 2023,PDF,2,6,0,0,8,0
West Ayeyar Guerilla Force (WAGF),6 August 2022,11 May 2023,PDF,2,7,0,0,42,3
Yaung Pyan Guerrilla Force,5 September 2022,31 May 2023,PDF,2,5,0,0,9,0
8 Stars Guerrilla Force - Myingyan,24 March 2023,2 June 2023,PDF,3,6,0,0,15,0
Chaung U Middle Wolves Army,2 July 2022,28 March 2023,PDF,2,4,0,0,19,0
Chindwin Revolution Fighter,24 December 2022,5 July 2023,PDF,5,7,0,0,4,0
Dawei PDF,14 May 2022,11 June 2023,PDF,2,8,0,0,54,6
Dragon King Guerrilla Force,1 February 2023,23 June 2023,PDF,3,5,0,0,35,1
Eagle Force (Thayet & Kamma & Mindon),12 December 2022,10 April 2023,PDF,3,15,0,1,16,0
God of Snake - Monywa PDF,8 August 2022,14 April 2023,PDF,1,6,0,0,8,3
KLAB,15 June 2023,22 June 2023,PDF,1,8,0,0,7,0
Nway Oo Thit Sar Guerrilla Force.,14 October 2022,31 December 2022,PDF,1,7,0,0,3,0
Southern Kanbalu LPDF,5 January 2023,10 February 2023,PDF,1,7,0,0,12,0
Taw Kywe Gyi PDF,16 December 2022,23 June 2023,PDF,2,6,0,0,18,1
Thurein Lightning Thunderstorm LDF - Khin-U,3 November 2022,7 November 2022,PDF,1,4,0,0,15,0
Yae Lel Kyun Guerrilla Force,13 August 2022,5 October 2022,PDF,1,4,0,0,26,0
7 Star Guerrilla Force,17 January 2023,12 April 2023,PDF,2,5,0,0,28,0
BPDF - Yoma,8 January 2023,10 July 2023,PDF,5,11,0,3,44,1
Federal Column PDF,3 June 2022,4 April 2023,PDF,1,7,0,0,29,6
Hundred Guerrilla Force,12 March 2023,14 April 2023,PDF,2,4,0,0,0,0
Hunter Dragon Group,27 November 2022,28 February 2023,PDF,2,10,1,0,6,0
Kayan PDF,10 April 2022,22 April 2023,PDF,2,20,0,2,13,0
Mahuya Shwebo Thar LDF,21 October 2022,30 May 2023,PDF,1,4,0,1,10,0
Monywa Red Peacock PDF,19 July 2022,5 January 2023,PDF,3,4,0,0,18,0
PDF - Pyin Oo Lwin,21 February 2023,19 March 2023,PDF,5,10,0,0,52,2
PDF (Zoland),17 June 2022,11 July 2023,PDF,2,9,1,0,35,4
Pyi Thu Inn Arr PDF (Ngazun),17 January 2023,12 April 2023,PDF,1,5,0,0,32,0
Shwe Min Thar LPDF,4 August 2022,21 October 2022,PDF,2,5,0,0,30,0
Southern Shan Revolution Youth Force - SSRY PDF,15 May 2022,19 February 2023,PDF,5,9,0,0,69,13
Taw Bomb Gyi PDF,31 May 2023,20 June 2023,PDF,1,7,0,0,30,0
Tike Thein UG Force,16 November 2022,8 June 2023,PDF,1,6,0,0,27,1
Urban Revolution Front (URF),1 July 2022,19 June 2023,PDF,5,10,7,0,49,4
Yangon Eagle Force,19 June 2023,8 July 2023,PDF,2,6,0,0,5,0
Yangon Urban Guerrilla Army (YUGA),3 June 2022,13 April 2023,PDF,6,14,0,5,1,0
Yenangyaung Phay Kan Kaung Nway Oo PDF,5 January 2023,16 June 2023,PDF,2,9,1,1,7,0
Beikthano PDF,29 April 2022,14 December 2022,PDF,6,17,1,9,21,6
Bo Moe Kyoe PDF,12 December 2022,27 June 2023,PDF,3,7,0,3,6,0
Brave Eagles (UG) PDF,23 June 2022,5 June 2023,PDF,7,10,0,0,9,0
Demo Falcon PDF,2 May 2022,7 August 2022,PDF,2,2,0,0,39,0
Hnget Gyi Taung PDF,22 June 2022,21 October 2022,PDF,1,7,0,0,26,0
Ko Aung Gyi PDF,9 October 2022,17 May 2023,PDF,1,4,0,0,25,0
Mahuya Wild Tiger PDF,13 May 2022,6 October 2022,PDF,3,5,0,0,35,0
Myaing PDF - Nant Thar Myaing Guerrilla Force,15 May 2022,29 November 2022,PDF,2,7,0,0,31,0
Myanmar Revolution Army (MRA),25 November 2022,7 June 2023,PDF,2,7,0,0,7,0
Myay Pyin Loat Shar Brothers,22 October 2022,10 February 2023,PDF,1,7,0,0,12,0
National Revolutionary Guards NRG,8 December 2022,29 March 2023,PDF,2,10,0,0,5,2
PDF - Pwintbyu,18 May 2022,28 March 2023,PDF,3,12,0,0,53,0
People's Defence Force Yenangyaung,19 October 2022,7 May 2023,PDF,1,10,1,1,8,0
Phoenix Taze PDF,22 May 2022,6 February 2023,PDF,1,7,0,0,54,0
Rangers of Mandalay (ROM),25 January 2022,15 October 2022,PDF,8,14,0,0,5,2
Ronin Thirteen PDF,3 March 2023,28 May 2023,PDF,3,6,0,0,16,0
Seikphyu Bar Ma Hti PDF,20 July 2022,27 May 2023,PDF,1,10,0,0,16,13
Southern Eagle PDF,22 March 2023,7 July 2023,PDF,1,10,0,0,38,0
Special Task Force - STF Mandalay,23 November 2022,8 April 2023,PDF,6,11,0,5,9,1
Taze Revolution Force (TRF),11 July 2022,21 January 2023,PDF,3,10,1,0,10,0
Bawlake PDF - BPDF,22 August 2022,18 June 2023,PDF,4,12,0,0,109,7
Bo Galone Nyi Naung PDF,26 October 2022,2 April 2023,PDF,2,8,0,0,12,0
CDF-Zophei,3 August 2022,6 June 2023,PDF,1,7,0,0,26,11
IC,28 November 2022,28 November 2022,PDF,1,1,0,0,20,0
Ka Sal Doh Kyar (KPDF),3 June 2022,6 February 2023,PDF,2,8,1,0,43,3
Kanbalu Falcon,3 September 2022,1 April 2023,PDF,1,8,0,4,3,0
Kings Cobra Guerrilla Force - MDY (K.C.G.F),29 April 2022,18 July 2022,PDF,4,12,0,1,2,0
Myaing Hero Generation,18 April 2022,21 November 2022,PDF,3,6,0,0,24,6
Peacock Taman Special Column,6 June 2023,20 June 2023,PDF,1,5,0,0,40,0
Saw Dragon Drone Force,10 July 2022,2 July 2023,PDF,4,9,3,1,66,1
SDRA PDF,22 November 2022,23 November 2022,PDF,2,4,0,0,0,0
Shwe Chan Thar Guerrilla Force,18 November 2022,25 May 2023,PDF,1,13,0,0,82,2
Shwebo Tiger PDF,3 April 2023,12 June 2023,PDF,2,9,0,0,16,0
Spring Special Task Force,2 September 2022,28 February 2023,PDF,2,9,0,0,55,0
Ba Nyein Guerrilla Force,28 May 2023,28 May 2023,PDF,1,2,0,0,4,0
Black Hunter People’s Task Force,27 April 2022,3 March 2023,PDF,3,11,0,8,7,0
Bo Ga Tone PDF,2 September 2022,31 December 2022,PDF,2,6,0,0,0,0
Cobra One PDF,28 May 2023,28 May 2023,PDF,1,2,0,0,4,0
Daung Lan Hlwint Mak Say Ta Man PDF,28 May 2023,28 May 2023,PDF,1,2,0,0,4,0
Freedom Fighter,9 February 2023,8 July 2023,PDF,2,4,0,0,2,0
Golden Eagle Drone Force,24 July 2022,29 May 2023,PDF,1,7,0,0,8,1
Khin-U Local Guerrilla Force (KUGF),19 May 2022,31 May 2023,PDF,2,6,5,0,63,4
Mongoose Squadron,3 June 2022,26 October 2022,PDF,2,7,1,1,6,0
Narapati Local Guerrilla Revolution Force (N.L.G.L.F),22 June 2022,17 January 2023,PDF,1,8,0,2,14,0
Nat Myin group,2 May 2022,31 January 2023,PDF,2,2,0,0,35,0
Phoenix 7 PDF,28 May 2023,28 May 2023,PDF,1,2,0,0,4,0
Rangoon Urban Force,4 July 2023,5 July 2023,PDF,4,7,0,0,0,0
Tar Tay Gyi PDF,2 May 2022,31 October 2022,PDF,1,2,0,0,35,0
Tiger King PDF,12 June 2022,27 March 2023,PDF,2,8,0,1,5,0
Tigyaing PDF,2 May 2022,6 July 2023,PDF,1,15,0,2,143,3
Youth Revolution Attack Force (YRAF),16 April 2023,6 June 2023,PDF,3,4,0,0,20,0
96 Soldiers PDF,24 August 2022,12 June 2023,PDF,5,6,0,0,52,0
DMO-PDF,21 May 2022,3 December 2022,PDF,1,11,0,0,45,2
Guerrilla Falcon,28 September 2022,29 December 2022,PDF,2,3,0,0,9,0
Katha District PDF,15 May 2022,1 June 2023,PDF,4,11,8,0,89,1
Lightning PDF (Homalin),11 November 2022,5 May 2023,PDF,1,6,5,0,70,0
Mongmit District - KPDF,25 April 2023,5 June 2023,PDF,2,10,0,0,26,0
Nay Pyi Taw Battalion,8 June 2022,8 April 2023,PDF,4,6,0,0,58,1
People's Youth Defence Force,9 March 2023,24 April 2023,PDF,2,3,0,0,5,0
Regional Friend Fighters - RFF PDF,4 March 2022,25 March 2023,PDF,2,11,0,0,22,0
Thandaung PDF,5 May 2022,12 June 2023,PDF,3,16,0,1,54,1
Tiger Column,9 February 2023,12 May 2023,PDF,3,5,0,0,0,0
Tiger PDF,14 October 2022,18 April 2023,PDF,1,6,0,0,39,0
Aung Myay PDF,4 April 2023,4 April 2023,PDF,2,3,0,0,5,0
Black Dragon Force (Monywa),31 March 2023,21 June 2023,PDF,2,6,0,0,16,0
Black Hawk Seikphyu Revolution Front (BHSRF),12 January 2023,7 May 2023,PDF,2,11,0,0,2,0
Chauk PDF,12 June 2022,16 June 2023,PDF,3,9,1,0,12,0
Dogs Hunter PDF,22 June 2022,25 February 2023,PDF,3,5,0,0,34,0
Dragon Warrior,20 April 2022,16 August 2022,PDF,3,8,0,0,42,0
Future Generation PDF,29 April 2022,15 June 2022,PDF,2,4,0,0,73,2
HYPER UAV FORCE PDF,26 May 2022,5 March 2023,PDF,1,8,0,0,24,0
Laung Shey PDF,10 May 2022,9 February 2023,PDF,2,9,1,0,20,1
Myingyan PDF,30 April 2022,25 May 2023,PDF,4,11,2,4,43,1
Pa-O People's Defense Force - KD,27 March 2023,29 April 2023,PDF,1,5,0,0,2,0
Pakokku Generation Z,22 August 2022,24 February 2023,PDF,2,6,3,0,11,0
Red Dragon Guerrilla Force (Myingyan),28 November 2022,11 June 2023,PDF,2,9,0,0,85,2
Super Light PDF,4 April 2023,4 April 2023,PDF,2,3,0,0,5,0
Ta Ko Taw Thu Ba Yazar PDF,16 May 2022,6 July 2023,PDF,5,6,0,0,13,0
White Elephant Columns of Kawthoolei Army,27 September 2022,11 February 2023,PDF,1,4,0,0,0,0
Yaw's People Defence Force,4 June 2022,30 May 2023,PDF,2,11,1,0,41,1
ACID Army PDF - MDY,1 January 2023,23 February 2023,PDF,6,12,0,0,5,0
Amarapura PDF (Ama PDF),21 August 2022,28 December 2022,PDF,3,6,0,0,0,1
Bo Sin Yaing group,2 May 2022,2 May 2022,PDF,1,1,0,0,35,0
CDF - Lautu,22 June 2022,6 June 2023,PDF,4,7,0,0,20,0
CDSOM's 012 group,2 May 2022,2 May 2022,PDF,1,1,0,0,35,0
Guerrilla Eagle PDF,2 May 2022,2 May 2022,PDF,1,1,0,0,35,0
Joke GZ PDF,2 May 2022,2 May 2022,PDF,1,1,0,0,35,0
Knight Commander PDF,27 June 2022,13 January 2023,PDF,4,7,0,0,20,0
Ma Ta Htaung (Ta Kaung Bwar) - Depayin Crocodile and Tigers Shwebo,9 June 2022,24 June 2022,PDF,1,3,0,0,16,0
Minbu PDF,8 February 2023,28 March 2023,PDF,3,7,0,0,50,0
Mobile People's Defence Force,1 October 2022,13 May 2023,PDF,2,3,0,0,20,0
Myaung Farmers' PDF,2 May 2022,2 May 2022,PDF,1,1,0,0,35,0
Myingyan - Bee PDF,2 May 2022,2 May 2022,PDF,1,1,0,0,35,0
PDF Taloke,2 May 2022,2 May 2022,PDF,1,1,0,0,35,0
Phoenix Urban Guerrilla Force,5 September 2022,5 July 2023,PDF,4,7,0,0,0,0
Salingyi IC,27 March 2023,28 March 2023,PDF,2,5,0,0,2,0
Yan Gyi Aung PDF,9 July 2022,2 July 2023,PDF,3,6,0,0,18,0
Aung Maw PDF,23 February 2023,3 March 2023,PDF,2,5,0,0,7,0
Bago PDF,10 May 2022,26 February 2023,PDF,9,14,10,3,25,0
Duwun PDF,25 April 2022,30 May 2023,PDF,4,7,0,0,24,9
Four Elements PDF,15 July 2022,22 October 2022,PDF,2,5,0,0,10,0
Ka Naung PDF,19 June 2022,21 February 2023,PDF,2,9,0,0,15,0
Kyar Pyan PDF,10 October 2022,1 July 2023,PDF,2,3,0,0,28,0
National PDF - Monywa,31 December 2022,31 December 2022,PDF,1,5,0,0,0,0
Naung Gyi PDF,9 October 2022,7 March 2023,PDF,1,4,0,0,0,0
PDF - Gangaw,21 May 2022,1 December 2022,PDF,1,12,0,0,44,0
Peacock Soldiers Madaya PDF,14 January 2023,11 April 2023,PDF,2,4,0,0,8,0
Thabeikkyin PDF,29 August 2022,5 April 2023,PDF,3,9,1,3,28,0
Wings of the Ayeyarwaddy,14 September 2022,5 July 2023,PDF,1,6,0,0,5,0
Wundwin Township Revolutionary Force (WTRF),6 May 2022,4 July 2023,PDF,1,16,1,11,13,0
Anyar Defence Force (A.D.F),19 July 2022,25 March 2023,PDF,1,5,0,0,19,0
Anyar Eagles PDF,17 April 2023,1 June 2023,PDF,3,3,0,0,10,0
Black Wolf Defence Force,5 June 2022,3 February 2023,PDF,2,3,0,0,23,0
Burma Student Organization (BSO),16 February 2022,15 November 2022,PDF,1,8,0,0,20,0
Excellent Flag PDF,15 June 2022,15 June 2022,PDF,1,4,0,0,3,0
Gyaing Kyar Guerrilla Force,19 May 2022,26 July 2022,PDF,2,2,0,0,3,2
GZ Special Task Force,12 June 2022,27 June 2023,PDF,1,7,1,0,8,0
Kyar Nyet PDF,9 August 2022,24 May 2023,PDF,1,14,0,7,20,0
Mahuya Wild Buffalo PDF,19 May 2022,23 June 2023,PDF,3,4,5,0,74,1
Myit Chay Kyun Chaung Defence Force (MC-KC-DF),28 May 2022,26 February 2023,PDF,1,7,0,0,20,0
Ta Yoke Gyi Group,18 September 2022,20 January 2023,PDF,1,3,0,2,4,1
Thunderbird LDF (GFatt),10 December 2022,29 April 2023,PDF,2,4,0,0,0,0
7 Star PDF - Pale,18 July 2022,10 October 2022,PDF,2,4,0,0,13,6
Adventure Squadron Drone - ASD PDF,25 September 2022,16 January 2023,PDF,2,4,4,0,3,0
Demo Pauk Kwe PDF,12 December 2022,6 May 2023,PDF,1,4,0,0,12,0
G.O.G Myaing PDF,22 May 2022,13 June 2023,PDF,2,5,0,0,21,1
Guerilla Falcon,5 May 2022,13 August 2022,PDF,3,4,0,0,9,0
Lark Guerrilla Force - Pauk,31 December 2022,11 May 2023,PDF,3,5,0,0,13,1
M.A.C.T Logistics PDF,26 May 2022,21 December 2022,PDF,1,8,0,1,17,0
Mahar Revolution Force (MRF),31 August 2022,25 May 2023,PDF,2,7,0,2,7,0
Mon State Revolutionary Organization (MSRO),6 May 2022,17 February 2023,PDF,2,15,0,3,9,1
Nation People Defence Force,13 September 2022,25 December 2022,PDF,1,7,0,0,3,0
NUG Battalion 1101,23 June 2022,25 November 2022,PDF,2,6,0,0,18,1
Salingyi Regional Defence Force,23 May 2022,5 June 2022,PDF,3,3,0,0,0,0
SGF PDF,18 December 2022,12 February 2023,PDF,3,4,0,0,3,3
Shwe Oh Revolution Force,11 November 2022,21 March 2023,PDF,1,3,0,0,24,0
Special 9 - Tigyaing PDF,18 May 2022,20 February 2023,PDF,2,15,0,0,44,0
True Arrow LPDF,6 June 2022,19 February 2023,PDF,3,5,0,0,36,0
United Southern Shan Federal Union (USSFU),29 September 2022,31 October 2022,PDF,3,6,0,0,8,1
Black Grim Reaper PDF,9 May 2022,23 June 2023,PDF,5,6,0,1,3,0
East Monywa LPDF,30 October 2022,27 February 2023,PDF,1,5,0,0,8,0
Farmers Revolution Force - Monywa,12 December 2022,5 July 2023,PDF,4,4,0,0,4,0
IRF,6 August 2022,8 December 2022,PDF,2,3,0,0,0,0
Kale PDF,3 September 2021,15 June 2023,PDF,1,9,1,0,49,3
Myae Pyin Hlote Shar Nyi Naung Myar PDF,13 December 2022,20 January 2023,PDF,1,6,0,0,3,0
Myingyan 21 PDF,11 November 2022,27 December 2022,PDF,2,4,0,0,10,0
Scorpions PDF,2 October 2022,7 July 2023,PDF,3,5,0,0,19,0
Seikphyu PDF,5 April 2023,30 June 2023,PDF,1,6,0,0,27,0
Steel Butterfly PDF,10 January 2023,5 June 2023,PDF,4,5,0,0,5,0
Western Region PDF,1 May 2022,6 June 2023,PDF,5,7,0,0,39,0
Wetlet King Viper PDF,7 May 2022,26 September 2022,PDF,2,7,0,0,65,11
White PDF,17 October 2022,2 July 2023,PDF,2,8,0,0,21,0
Yadanabon Revolutionary Force - YRF,5 May 2022,3 November 2022,PDF,5,5,0,0,0,1
Yaung Ni Guerrilla Force,22 June 2022,29 November 2022,PDF,2,5,0,0,28,0
Ye PDF,6 January 2022,27 June 2023,PDF,2,11,1,1,32,0
Yenangyaung PDF,26 July 2022,22 November 2022,PDF,2,5,0,0,30,0
Black Scorpion PDF,15 June 2022,7 September 2022,PDF,2,2,0,0,15,0
CAF-SPUPDF (Myaelatt Seikphyu PDF),9 July 2022,2 July 2023,PDF,2,5,0,0,45,0
CJDC,3 August 2022,17 November 2022,PDF,2,5,0,0,22,0
Comrade Brotherhood PDF,28 September 2022,5 October 2022,PDF,1,2,0,0,9,0
Dawei District People's Defence Frontier (DDPDF),2 September 2022,11 June 2023,PDF,2,6,0,0,12,1
Eagle YPDF,24 October 2022,21 May 2023,PDF,3,5,0,1,4,0
Ever Freedom,17 September 2022,17 September 2022,PDF,1,2,0,0,6,0
Guardians UG,26 August 2022,2 December 2022,PDF,3,6,0,0,0,0
Kyunsu PDF,1 July 2022,27 May 2023,PDF,4,8,0,1,12,0
Mandalay UG,7 November 2022,24 February 2023,PDF,4,7,0,0,10,0
Monywa District PDF - DEMO,13 May 2022,6 October 2022,PDF,2,5,0,0,50,0
Pwal Tine Kyaw PDF,4 March 2023,7 July 2023,PDF,2,3,0,0,2,0
Pyone Shwin PDF - Depayin,2 May 2022,7 May 2022,PDF,1,3,0,0,8,1
Revolution of 21 Century,14 September 2022,11 January 2023,PDF,5,8,0,0,0,0
Special Task Agency of Burma (STA),12 December 2021,28 March 2023,PDF,13,20,5,5,3,0
Spring Revolution Force Delta TAUNTHA,5 January 2023,6 June 2023,PDF,2,4,0,0,22,0
TaungLet Force PDF,30 April 2022,5 January 2023,PDF,3,3,0,0,4,0
Thousand Of Silver Stars LPDF,30 October 2022,29 December 2022,PDF,1,4,0,0,5,0
YDF - Htilin,16 May 2022,5 December 2022,PDF,2,13,0,0,9,0
Black Eagle People's Defence Force -Monywa,6 September 2022,6 September 2022,PDF,2,2,0,0,18,0
Brave Warriors for Myanmar (BWM),1 March 2023,16 April 2023,PDF,4,8,0,0,5,0
CDF - Mara,22 June 2022,8 July 2023,PDF,3,9,1,0,12,0
Fire Dragon NZN Revolution Force - Myaung,11 September 2022,16 January 2023,PDF,2,5,0,4,24,0
Hero Fighter (Salingyi) PDF,1 June 2023,7 July 2023,PDF,3,6,0,0,0,0
IBEX PDF,12 January 2023,31 January 2023,PDF,1,4,0,0,13,0
Kawthoung District Defence Force (KDDF),5 May 2022,15 May 2023,PDF,2,9,0,0,15,1
Kyaukkyi PDF,6 June 2023,9 June 2023,PDF,1,10,0,1,40,4
Local Wolf Guerrilla Revolution Force (LWGRF),23 June 2022,20 August 2022,PDF,1,4,0,0,10,0
Oak Awe UG (Sa Lay),12 January 2023,22 April 2023,PDF,2,9,0,0,2,0
Pakokku Guerrilla Force,10 March 2022,12 May 2023,PDF,4,6,0,0,11,1
People's Guerillas Commando - Myinmu,3 February 2022,20 October 2022,PDF,3,6,0,0,20,0
Sadaung Revolution Army,3 May 2023,18 May 2023,PDF,1,3,0,0,2,0
Spring Soldier PDF,8 October 2022,14 April 2023,PDF,3,4,0,0,8,0
Sun King Envoy Monywa (SKE),25 November 2022,25 June 2023,PDF,1,5,0,0,10,0
Thanmani Guerrilla Force,2 September 2022,1 December 2022,PDF,2,6,0,0,17,0
Wuntho PDF,16 July 2022,22 June 2023,PDF,1,9,1,0,17,6
Yaw Revolution Army - Htilin,14 December 2022,4 July 2023,PDF,1,12,2,0,36,6
Ye Ye Tauk Youth Guerrilla Force,6 March 2023,4 July 2023,PDF,2,5,0,1,7,0
"""Mother Sons Have Returned"" PDF",31 December 2022,31 December 2022,PDF,1,4,0,0,0,0
(BRA + MRTA) Revolution Army,31 August 2022,23 November 2022,PDF,3,5,0,15,3,0
Bo Ma Htar PDF,4 June 2022,10 April 2023,PDF,3,6,0,1,12,0
Bo Tike Maung PDF,26 September 2022,24 March 2023,PDF,2,5,0,0,6,0
Budalin (Done Pyan) PDF,3 February 2022,12 June 2023,PDF,4,8,0,0,4,8
God of Burmese Army (GOBA),25 November 2022,19 January 2023,PDF,1,7,1,0,2,0
Karenni Army,20 February 2023,2 July 2023,PDF,5,10,0,0,6,0
KTL Army,22 January 2023,26 January 2023,PDF,1,6,0,0,90,0
Kyaukpadaung Defence Force - KDF,28 April 2022,13 July 2022,PDF,2,7,0,0,28,2
Maw Kun Thit PDF,12 December 2022,7 March 2023,PDF,2,3,0,0,2,0
Oke Awe Column Dawei,5 December 2022,11 June 2023,PDF,3,6,2,0,22,0
People Revolution Army (PRA),22 January 2022,25 June 2022,PDF,5,7,0,0,48,0
People's  Defence  Force  Myinmu - MMU PDF,30 April 2022,9 September 2022,PDF,1,3,0,0,16,0
Wingabar PDF,19 February 2023,21 June 2023,PDF,1,4,0,0,3,0
Zin Yaw Ni Guerrilla Force,17 May 2022,11 November 2022,PDF,3,4,0,2,22,0
Amara Warrior,2 February 2023,25 May 2023,PDF,3,4,0,0,12,0
Anyar Brothers Alliance,27 March 2023,13 June 2023,PDF,3,4,0,0,12,0
Daung Lu Lin LPDF,16 April 2022,9 May 2023,PDF,3,4,0,0,27,0
Doung Ni Defence Force (DNDF-Wetlet),1 August 2022,16 March 2023,PDF,1,7,0,0,5,0
Golden Shelduck PDF,15 June 2022,14 January 2023,PDF,2,2,0,0,23,0
Kani Guerrilla Force,15 May 2022,28 October 2022,PDF,2,5,0,0,30,0
Maw Kun Nyi Naung PDF,7 July 2022,4 February 2023,PDF,2,5,0,0,27,0
Sayasan PDF - Depayin,11 February 2022,30 March 2023,PDF,3,6,0,0,6,0
Yaw Region PDF's Alliance (YRPA),20 May 2022,26 May 2023,PDF,4,7,0,0,32,0
Brave Brothers PDF,31 January 2023,8 March 2023,PDF,2,7,0,0,18,0
Bright Star Group,29 January 2023,11 March 2023,PDF,2,3,0,1,1,0
Brother Revolution Force – Monywa,4 March 2023,12 May 2023,PDF,1,5,0,0,6,0
Burmese Revolution Technical Army - BRTA,5 August 2022,6 August 2022,PDF,1,2,1,0,28,1
Burmese Revolutionary Technical Front - BRTF,5 August 2022,6 August 2022,PDF,1,2,1,0,28,1
Dog Hunter UAV Force,12 February 2023,26 February 2023,PDF,2,3,0,0,0,0
Ghost Ranger PDF,1 June 2022,25 November 2022,PDF,1,5,0,0,12,0
God's Hand Forces (GHF),11 July 2022,6 April 2023,PDF,8,9,0,0,6,0
Guerrilla Rangers PDF - GRP,18 April 2022,9 December 2022,PDF,3,5,0,0,4,0
Hnin Kway PDF,18 September 2022,7 February 2023,PDF,1,3,0,2,4,1
Human Rights Defenders (HRD),2 May 2022,4 December 2022,PDF,6,12,0,0,0,0
Kyunhla PDF,29 May 2022,30 June 2023,PDF,2,7,4,0,15,2
Mahuya Guerrilla Force - Depayin,24 June 2022,24 June 2022,PDF,1,2,0,0,15,0
Mandalay Urban Guerrilla Force,18 October 2022,19 May 2023,PDF,5,9,4,2,7,0
Moe Dar PDF - Katha,22 November 2022,7 July 2023,PDF,1,6,0,0,0,0
Mother Son Yangon Force,6 July 2022,9 June 2023,PDF,7,10,0,1,0,0
Myaung Tiger PDF,5 August 2022,6 August 2022,PDF,1,2,1,0,28,1
MYG PDF,5 January 2023,25 February 2023,PDF,2,2,0,0,0,0
NCG Northern Alliance Force,11 November 2022,23 December 2022,PDF,2,5,0,0,5,0
North District PDF,29 July 2022,23 April 2023,PDF,3,7,0,1,15,0
One Star LPDF,30 October 2022,13 December 2022,PDF,2,4,0,0,7,0
Red Dragon PDF - Kyaukse,4 February 2023,18 June 2023,PDF,4,4,0,0,71,1
Seik Kun PDF,24 June 2022,24 June 2022,PDF,1,2,0,0,15,0
Southern Pauk People’s Defense Force SPPDF,2 May 2022,20 May 2023,PDF,2,5,0,0,3,0
Taung Nyo Dragon PDF,28 November 2022,12 June 2023,PDF,2,4,0,0,11,0
Tigyaing Revolution - TR,16 June 2022,22 April 2023,PDF,2,9,3,0,66,0
We Must Win Guerrilla Force,28 July 2022,13 June 2023,PDF,1,5,0,0,13,0
Whirl-wind PDF,8 August 2022,29 December 2022,PDF,3,7,0,0,21,1
Wild Tiger Guerrilla Force,5 August 2022,4 April 2023,PDF,2,5,0,1,5,0
Without Borders Alliance Force,12 June 2022,2 July 2023,PDF,3,5,0,0,25,0
