Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
MPL Middle Land Guerrilla Force,15 June 2022,14 January 2023,PDF,2,12,0,0,34,0
Dawei Guerrilla Revolutionary Force - DGRF,15 January 2022,29 June 2023,PDF,4,51,3,17,87,1
Eagle Guerrilla Force (EGF),30 May 2022,4 July 2023,PDF,9,29,1,2,122,7
Ayadaw Bone Naing PDF,27 May 2022,31 May 2023,PDF,2,23,0,0,38,0
Zarmani PDF,14 October 2022,19 June 2023,PDF,11,29,1,0,48,10
Myingyan Zero PDF,29 April 2022,2 February 2023,PDF,4,39,0,15,141,2
Chindwin Tiger PDF,15 August 2022,25 May 2023,PDF,3,12,0,0,68,0
Demoso PDF,29 April 2022,2 June 2023,PDF,5,43,0,0,110,8
Kanbalu Underground Warriors,4 October 2021,25 June 2023,PDF,2,42,1,8,63,0
Ruby Brothers PDF,11 June 2022,31 May 2023,PDF,3,23,0,0,33,0
Mone Taing group,2 May 2022,28 June 2023,PDF,5,16,0,2,64,1
Monywa Bandula and members LDF,5 June 2022,5 July 2023,PDF,4,29,0,1,73,0
Pakokku Ranger,17 May 2022,15 June 2023,PDF,3,20,0,2,21,0
Shwebo PDF,30 September 2022,5 July 2023,PDF,3,33,5,0,106,1
Mobye PDF,2 November 2021,19 June 2023,PDF,3,35,8,0,182,17
Kyaukse Nagar Ni Guerrilla Force,10 July 2022,6 July 2023,PDF,8,29,0,17,144,1
Shwe Hin Thar PDF,17 September 2022,9 January 2023,PDF,1,11,0,0,11,0
Justice Revolution Force,22 August 2022,8 July 2023,PDF,5,12,0,0,74,0
Ngar Myi Ya PDF,24 August 2022,18 June 2023,PDF,2,18,0,1,29,0
Singu PDF,30 May 2022,27 June 2023,PDF,5,29,1,0,89,1
Thaton PDF,11 May 2022,8 July 2023,PDF,4,35,0,3,32,0
Zarmini MMU PDF,24 May 2022,16 January 2023,PDF,9,27,0,8,152,2
Black Leopard Column,14 October 2022,10 July 2023,PDF,4,29,0,0,121,6
Ghost Team Ranger Myinmu - GTR,9 February 2022,6 July 2023,PDF,4,25,1,0,105,2
Royal Defence Force - RDF,8 July 2022,16 June 2023,PDF,3,24,0,1,32,2
Taze Tiger PDF,14 June 2022,4 June 2023,PDF,1,27,10,0,98,0
Yinmarbin Fighter Brotherhood Guerrilla Army,25 August 2022,7 July 2023,PDF,4,9,0,0,33,0
Young Wolf - LPDF,17 July 2022,16 June 2023,PDF,1,20,0,4,62,0
Wolf Brothers PDF,12 June 2022,27 December 2022,PDF,3,12,0,0,56,0
Golden Eagle Force - Monywa,3 May 2022,14 June 2023,PDF,2,29,0,1,63,3
Hlyat Ta Pyat Sun Nyo PDF,5 August 2022,4 May 2023,PDF,4,18,2,0,74,0
PDF - Shwebo,21 February 2022,7 February 2023,PDF,3,21,0,1,37,4
Black Peacock Without Borders Guerrilla Force,10 May 2022,19 April 2023,PDF,4,28,2,0,40,6
Ma Ta Htaung (Ta Kaung Bwar) - Depayin,6 June 2022,11 May 2023,PDF,1,19,0,0,87,3
YSO Island Spotted Army,23 May 2022,13 May 2023,PDF,2,13,0,0,62,0
AMT Guerrilla Force,11 June 2022,4 July 2023,PDF,2,21,0,0,28,0
Chaung-U Revolution Army (CRA),26 March 2022,5 July 2023,PDF,4,25,1,6,126,3
Fighter Brotherhood Guerrilla Army - FBGA,14 October 2022,23 June 2023,PDF,5,20,0,0,22,1
One Star Task Force,5 June 2022,6 July 2023,PDF,2,12,0,0,49,1
Yaw Defence Force-YDF,31 May 2021,3 June 2023,PDF,6,43,1,7,357,11
Myingyan Black Tiger (MBT),8 September 2022,2 July 2023,PDF,6,38,3,4,124,4
Myaung Fighter Defence Force,18 May 2022,29 January 2023,PDF,4,16,0,7,43,0
Anti-dictatorship Revolution People's Army,5 May 2022,4 April 2023,PDF,6,35,0,0,108,1
Anyar Peacock PDF,17 September 2022,8 February 2023,PDF,2,11,0,0,10,0
Federal Democracy Revolution Force - FDRF,16 May 2022,2 May 2023,PDF,5,11,0,0,8,0
Dragon Brothers,13 May 2022,11 April 2023,PDF,9,29,1,2,83,1
Moe Nyo Revolution Force (MNRF),5 May 2022,7 June 2023,PDF,3,35,3,0,90,1
Monywa The Boy PDF,4 June 2022,7 July 2023,PDF,2,25,2,1,97,6
Bar Ma Hti group,15 May 2022,7 July 2023,PDF,8,22,0,0,40,3
Peacock King PDF,8 February 2022,28 May 2023,PDF,12,31,0,1,98,0
Young People Force (YPF),3 February 2022,16 June 2023,PDF,2,10,0,0,30,0
Bo Lin Yon PDF,3 June 2022,27 June 2023,PDF,5,32,1,7,92,1
Golden Brother PDF,8 June 2022,10 July 2023,PDF,5,14,0,0,74,6
CDF - Chin Defence Force,27 April 2022,26 June 2023,PDF,8,55,1,0,190,29
Dragon Urban Guerrilla (DUGF- KU Dragon),21 February 2022,31 May 2023,PDF,4,19,0,0,63,0
G-21 Guerrilla Force,15 June 2022,1 March 2023,PDF,4,9,0,0,24,0
Nay Pyi Taw PDF,3 June 2022,9 July 2023,PDF,11,34,0,0,172,11
PCM PDF,17 September 2022,9 January 2023,PDF,1,9,0,0,11,0
Wolf Guerrilla Force,19 May 2022,5 June 2023,PDF,4,17,0,0,46,1
Byet Ta Nyi Naung PDF,3 July 2022,3 June 2023,PDF,4,14,0,1,64,0
People Revolution Force,18 May 2022,26 December 2022,PDF,5,25,0,0,66,0
Taze Spring Revolution,14 June 2022,4 June 2023,PDF,1,22,0,0,72,0
Karenni Revolution Union (KRU),30 April 2022,27 June 2023,PDF,8,41,33,0,130,8
King Fighter PDF,31 August 2022,22 May 2023,PDF,6,18,0,10,26,0
Pale Joker,3 March 2022,19 June 2023,PDF,2,18,0,0,34,0
God of Death PDF,11 July 2022,2 May 2023,PDF,5,9,1,0,32,1
People's Defence Force Myinmu - MMU PDF,12 June 2022,9 July 2023,PDF,2,23,0,0,104,0
God of Death Guerrilla Force,4 May 2022,3 July 2023,PDF,5,15,0,1,30,0
Nga Ba Guerrilla Force,19 May 2022,27 May 2023,PDF,6,14,0,0,16,2
