SR,Township,Town,Ward,Ward_MMR,,,
Sagaing,Monywa,Monywa Town,Aung Min Ga Lar Ward,အောင်မင်္ဂလာရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Aye Thar Yar Ward,အေးသာယာရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Ban Du La Ward,ဗန္ဓုလရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Chan Mya Thar Zi Ward,ချမ်းမြသာစည်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Chan Mya Wa Di Ward,ချမ်းမြဝတီရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Daw Na Chan Ward,ဒေါနခြံရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Hpa Yar Gyi Ward,ဘုရားကြီးရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Hpone Soe Ward,ဖုန်းစိုးရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Kan Thar Oo Ward,ကန်သာဦး,,,
Sagaing,Monywa,Monywa Town,Kwayt Gyi Ward,ကွေ့ကြီးရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Lel Di Ward,လယ်တီရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Monywa (South) Ward,မုံရွာတောင်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Mya Wa Di Ward,မြဝတီရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Nan Da Wun Ward,နန္ဒဝန်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Nat Lu Hteik Pan Ward,နတ်လူထိပ်ပန်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Oe Bo (South) Ward,အိုးဘိုတောင်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Pyi Taw Thar Ward,ပြည်တော်သာရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Set Hmu Zon Ward,စက်မှုဇုန်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Shwe Pyi Aye Ward,ရွှေပြည်အေးရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Shwe Za Loke Ward,ရွှေဇလုပ်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Sit Pin Ward,စစ်ပင်ရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Sue Lay Gone Ward,ဆူးလေကုန်းရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Than Taw Ward,သန်းတောရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Thar Lar Ward,သလ္လာရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Ya Da Nar Bon Ward,ရတနာပုံရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Yan Kin Ward,ရန်ကင်းရပ်ကွက်,,,
Sagaing,Monywa,Monywa Town,Yone Gyi Ward,ရုံးကြီးရပ်ကွက်,,,
Sagaing,Myaung,Myaung Town,Ah Lel Ward,အလယ်ရပ်ကွက်,,,
Sagaing,Myaung,Myaung Town,Myauk Ward,မြောက်ရပ်ကွက်,,,
Sagaing,Myaung,Myaung Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Sagaing,Myaung,Myaung Town,Taung Ward,တောင်ရပ်ကွက်,,,
Sagaing,Myinmu,Myinmu Town,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်,,,
Sagaing,Myinmu,Myinmu Town,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,,,
Sagaing,Myinmu,Myinmu Town,Myauk Paing Ward,မြောက်ပိုင်းရပ်ကွက်,,,
Sagaing,Myinmu,Myinmu Town,Taung Paing Ward,တောင်ပိုင်းရပ်ကွက်,,,
Sagaing,Nanyun,Don Hee Town,Htam Yone Ward,ထမ်ယုန်းရပ်ကွက်,,,
Sagaing,Nanyun,Don Hee Town,Me Tae Ward,မီတဲရပ်ကွက်,,,
Sagaing,Nanyun,Don Hee Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Sagaing,Nanyun,Nanyun Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Sagaing,Nanyun,Nanyun Town,Raw Kaw Ward,ရောကောရပ်ကွက်,,,
Sagaing,Nanyun,Nanyun Town,Sha Ra Ward,ရှရရပ်ကွက်,,,
Sagaing,Nanyun,Pansaung Town,Ah Htet Ward,အထက်ရပ်ကွက်,,,
Sagaing,Nanyun,Pansaung Town,Ah Lel Ward,အလယ်ရပ်ကွက်,,,
Sagaing,Nanyun,Pansaung Town,Auk Ward,အောက်ရပ်ကွက်,,,
Sagaing,Pale,Pale Town,Myauk Paing Ward,မြောက်ပိုင်းရပ်ကွက်,,,
Sagaing,Pale,Pale Town,Taung Paing Ward,တောင်ပိုင်းရပ်ကွက်,,,
Sagaing,Paungbyin,Paungbyin Town,In Gyin Myaing Ward,အင်ကြင်းမြိုင်ရပ်ကွက်,,,
Sagaing,Paungbyin,Paungbyin Town,Kyun Shwe War Ward,ကျွန်းရွှေဝါရပ်ကွက်,,,
Sagaing,Pinlebu,Pinlebu Town,Moe Kaung Ward,မိုးကောင်းရပ်ကွက်,,,
Sagaing,Pinlebu,Pinlebu Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Aye Mya Wa Di Ward,ဧမြဝတီရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Dawei Zay Ward,ထားဝယ်ဈေးရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Htone Bo Ward,ထုံးဘိုရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Mee Ya Htar Ward,မီးရထားရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Min Lan Ward,မင်းလမ်းရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Moe Zar Ward,မိုးဇာရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Nan Da Wun Kwet Thit Ward,နန္ဒဝန်ကွက်သစ်ရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Ni Lar Ward,နီလာရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Pa Da Myar Ward,ပတ္တမြားရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Pan Be Dan Ward,ပန်းဘဲတန်းရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Par Ra Mi Ward,ပါရမီရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Pe Ka Toe Ward,ပဲကတိုးရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Poe Tan Ward,ပိုးတန်းရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Pyu Kan Ward,ပြူကံရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Sein Kone Ward,စိန်ကုန်းရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Shwe Min Wun Ward,ရွှေမင်းဝံရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Si Tee Ward,စီတီးရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Ta Kaung Ward,တကောင်းရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Thaw Ta Pan Ward,သောတာပန်ရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Tin Teik Ward,တင်းတိပ်ရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Ywar Htaung Ward,ရွာထောင်ရပ်ကွက်,,,
Sagaing,Sagaing,Sagaing Town,Zay Yar Kwet Thit Ward,ဇေယျကွက်သစ်ရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Kyaung Nauk Ward,ကျောင်းနောက်ရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Myin Kywa Ward,မြင်းကြွရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Nyaung Ngoke To Ward,ညောင်ငုတ္တိုရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Pin Thin Ward,ပင်းသင်းရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Shar Pin Kan Ward,ရှားပင်ကန်ရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Taung Po Ward,တောင်ပိုရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Thin Twe Ward,သင်းတွဲရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Thu Htay Ward,သူဌေးရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Yae Kyi Ward,ရေကြည်ရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Ywar Saik Ward,ရွာစိုက်ရပ်ကွက်,,,
Sagaing,Sagaing,Sar Taung Town,Ywar Way Ward,ရွာဝေးရပ်ကွက်,,,
Sagaing,Salingyi,Salingyi Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Sagaing,Salingyi,Salingyi Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Sagaing,Salingyi,Salingyi Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Sagaing,Shwebo,Kyauk Myaung Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Sagaing,Shwebo,Kyauk Myaung Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Sagaing,Shwebo,Kyauk Myaung Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Sagaing,Shwebo,Kyauk Myaung Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Sagaing,Shwebo,Shwebo Town,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Sagaing,Tabayin,Saing Pyin Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Sagaing,Tabayin,Saing Pyin Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Sagaing,Tabayin,Saing Pyin Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Sagaing,Tabayin,Saing Pyin Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Sagaing,Tabayin,Saing Pyin Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Sagaing,Tabayin,Tabayin Town,Tabayin Ward,ဒီပဲယင်းရပ်ကွက်,,,
Sagaing,Tabayin,Tabayin Town,Taung Pyin Ward,တောင်ပြင်ရပ်ကွက်,,,
Sagaing,Tamu,Khampat Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Sagaing,Tamu,Khampat Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Sagaing,Tamu,Khampat Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Sagaing,Tamu,Khampat Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Sagaing,Tamu,Khampat Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Sagaing,Tamu,Myothit Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Sagaing,Tamu,Myothit Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Sagaing,Tamu,Myothit Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Sagaing,Tamu,Tamu Town,San Da Ku Ward,စန္ဒကူးရပ်ကွက်,,,
Sagaing,Tamu,Tamu Town,Saw Bwar Inn Ward,စော်ဘွားအင်းရပ်ကွက်,,,
Sagaing,Tamu,Tamu Town,Tamu Myo Ma Ward,တမူးမြို့မရပ်ကွက်,,,
Sagaing,Tamu,Tamu Town,Zay Tan Ward,ဈေးတန်းရပ်ကွက်,,,
Sagaing,Taze,Taze Town,Bo Mya Ward,ဗိုလ်မြရပ်ကွက်,,,
Sagaing,Taze,Taze Town,Ma Har Myaing Ward,မဟာမြိုင်ရပ်ကွက်,,,
Sagaing,Taze,Taze Town,Myit Tar Myaing Ward,မေတ္တာမြိုင်ရပ်ကွက်,,,
Sagaing,Taze,Taze Town,Paw-U Ward,ပေါ်ဦးရပ်ကွက်,,,
Sagaing,Tigyaing,Tigyaing Town,Aung Zay Yar Ward,အောင်ဇေယျာရပ်ကွက်,,,
Sagaing,Tigyaing,Tigyaing Town,Ba Yint Naung Ward,ဘုရင့်နောင်ရပ်ကွက်,,,
Sagaing,Tigyaing,Tigyaing Town,San Pya Ward (Aung San San Pya Ward),စံပြရပ်ကွက်,,,
Sagaing,Tigyaing,Tigyaing Town,Wi Thar Khar Ward,ဝိသာခါရပ်ကွက်,,,
Sagaing,Wetlet,Wetlet Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Sagaing,Wetlet,Wetlet Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Sagaing,Wetlet,Wetlet Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Sagaing,Wuntho,Wuntho Town,Kya Maing Ward,ကျမိုင်းရပ်ကွက်,,,
Sagaing,Wuntho,Wuntho Town,Saw Bwar Gyi Ward,စော်ဘွားကြီးရပ်ကွက်,,,
Sagaing,Wuntho,Wuntho Town,Shwe Wun Thi Dar Ward,ရွှေဝန်းသီတာရပ်ကွက်,,,
Sagaing,Wuntho,Wuntho Town,Sit Ke Gyi Ward,စစ်ကဲကြီးရပ်ကွက်,,,
Sagaing,Ye-U,Ye-U Town,Aung Chan Thar Ward,အောင်ချမ်းသာရပ်ကွက်,,,
Sagaing,Ye-U,Ye-U Town,Aung Min Ga Lar Ward,အောင်မင်္ဂလာရပ်ကွက်,,,
Sagaing,Ye-U,Ye-U Town,Aung San Ward,အောင်ဆန်းရပ်ကွက်,,,
Sagaing,Ye-U,Ye-U Town,Bo Aung Zay Ya Ward,ဗိုလ်အောင်ဇေယျရပ်ကွက်,,,
Sagaing,Ye-U,Ye-U Town,Shwe Pyi Thar Ward,ရွှေပြည်သာရပ်ကွက်,,,
Sagaing,Yinmarbin,Yinmarbin Town,(Ga Gyi) Ward,(ဃ) ရပ်ကွက်,,,
Sagaing,Yinmarbin,Yinmarbin Town,(Ga Nge) Ward,(ဂ) ရပ်ကွက်,,,
Sagaing,Yinmarbin,Yinmarbin Town,(Ka Gyi) Ward,(က) ရပ်ကွက်,,,
Sagaing,Yinmarbin,Yinmarbin Town,(Kha Gway) Ward,(ခ) ရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Aye Yar Wa Di Ward,ဧရာဝတီရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Ga Lon Ward,ဂဠုန်ရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Htar Nar Ward,ဌာနာရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Kayin Chan Ward,ကရင်ခြံရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Lut Lat Yay Ward,လွတ်လပ်ရေးရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Saw Yan Paing_East Ward,စောရန်ပိုင်(အရှေ့) ရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Saw Yan Paing_North Ward,စောရန်ပိုင်မြောက်ရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Saw Yan Paing_South Ward,စောရန်ပိုင်တောင်ရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Saw Yan Paing_West Ward,စောရန်ပိုင်အနောက်ရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Sin Min Ward,ဆင်မင်းရပ်ကွက်,,,
Yangon,Ahlone,Ahlone,Thit Taw Ward,သစ်တောရပ်ကွက်,,,
Yangon,Bahan,Bahan,Bo Cho No (1) Ward,ဗိုလ်ချိုအမှတ် (၁) ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Bo Cho No (2) Ward,ဗိုလ်ချိုအမှတ် (၂) ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Bo Sein Hman Ward,ဗိုလ်စိန်မှန်ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Gyar Taw Ya Ward,ကြားတောရရပ်ကွက်,,,
Yangon,Bahan,Bahan,Koet Min Koet Chin Ward,ကိုယ့်မင်းကိုယ့်ချင်းရပ်ကွက်,,,
Yangon,Bahan,Bahan,Kyaik Ka San Ward,ကျိုက္ကဆံရပ်ကွက်,,,
Yangon,Bahan,Bahan,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Yangon,Bahan,Bahan,Ngar Htat Gyi (North) Ward,ငါးထပ်ကြီး (မြောက်) ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Ngar Htat Gyi (Sorth) Ward,ငါးထပ်ကြီး (တောင်) ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Ngar Htat Gyi (West/Yae Lel) Ward,ငါးထပ်ကြီးအနောက်ရေလယ်ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Sa Yar San (North/East) Ward,ဆရာစံမြောက်အရှေ့ရပ်ကွက်  ,,,
Yangon,Bahan,Bahan,Sa Yar San (North/West) Ward,ဆရာစံမြောက်အနောက်ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Sa Yar San (South) Ward,ဆရာစံတောင်ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Sa Yar San Ward,ဆရာစံရပ်ကွက်,,,
Yangon,Bahan,Bahan,Shwe Gon Taing (East) Ward,အရှေ့ရွှေဂုံတိုင်ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Shwe Gon Taing (Middle) Ward,အလယ်ရွှေဂုံတိုင်ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Shwe Gon Taing (West) Ward,အနောက်ရွှေဂုံတိုင်ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Shwe Nant Thar Ward,ရွှေနံ့သာရပ်ကွက်,,,
Yangon,Bahan,Bahan,Shwe Taung Kyar No (1) Ward,ရွှေတောင်ကြားအမှတ် (၁) ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Shwe Taung Kyar No (2) Ward,ရွှေတောင်ကြားအမှတ် (၂) ရပ်ကွက်,,,
Yangon,Bahan,Bahan,Thar Tha Na Yeik Thar Ward,သာသနာ့ရိပ်သာရပ်ကွက်,,,
Yangon,Bahan,Bahan,Yae Tar Shey Ward,ရေတာရှည်ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,Seik Kan Mi Thar Su Yeik Thar Ward,ဆိပ်ကမ်းမိသားစုရိပ်သာရပ်ကွက်,,,
Yangon,Botahtaung,Botahtaung,Ye Yeik Thar Ward,ရဲရိပ်သာရပ်ကွက်,,,
Yangon,Cocokyun,Cocokyun Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Cocokyun,Cocokyun Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Yangon,Dagon,Dagon,Hpa Yar Gyi Ward,ဘုရားကြီးရပ်ကွက်,,,
Yangon,Dagon,Dagon,Pyay Lan (East) Ward,ပြည်လမ်း (အရှေ့) ရပ်ကွက်,,,
Yangon,Dagon,Dagon,Pyay Lan (West) Ward,ပြည်လမ်း (အနောက်) ရပ်ကွက်,,,
Yangon,Dagon,Dagon,U Wi Sa Ra Ward,ဦးဝိစာရရပ်ကွက်,,,
Yangon,Dagon,Dagon,Yaw Min Gyi Ward,ယောမင်းကြီးရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (108) Ward,အမှတ် (၁၀၈) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (109) Ward,အမှတ် (၁၀၉) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (110) Ward,အမှတ် (၁၁၀) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (111) Ward,အမှတ် (၁၁၁) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (112) Ward,အမှတ် (၁၁၂) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (113) Ward,အမှတ် (၁၁၃) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (114) Ward,အမှတ် (၁၁၄) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (115) Ward,အမှတ် (၁၁၅) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (116) Ward,အမှတ် (၁၁၆) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (117) Ward,အမှတ် (၁၁၇) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (118) Ward,အမှတ် (၁၁၈) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (119) Ward,အမှတ် (၁၁၉) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (120) Ward,အမှတ် (၁၂၀) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (121) Ward,အမှတ် (၁၂၁) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (122) Ward,အမှတ် (၁၂၂) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (123) Ward,အမှတ် (၁၂၃) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (124) Ward,အမှတ် (၁၂၄) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (125) Ward,အမှတ် (၁၂၅) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (126) Ward,အမှတ် (၁၂၆) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (127) Ward,အမှတ် (၁၂၇) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (128) Ward,အမှတ် (၁၂၈) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (129) Ward,အမှတ် (၁၂၉) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (13) Ward,အမှတ် (၁၃) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (130) Ward,အမှတ် (၁၃၀) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (131) Ward,အမှတ် (၁၃၁) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (132) Ward,အမှတ် (၁၃၂) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (133) Ward,အမှတ် (၁၃၃) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (134) Ward,အမှတ် (၁၃၄) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (135) Ward,အမှတ် (၁၃၅) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (136) Ward,အမှတ် (၁၃၆) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (137) Ward,အမှတ် (၁၃၇) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (138) Ward,အမှတ် (၁၃၈) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (139) Ward,အမှတ် (၁၃၉) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (14) Ward,အမှတ် (၁၄) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (15) Ward,အမှတ် (၁၅) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (155) Ward,အမှတ် (၁၅၅) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (156) Ward,အမှတ် (၁၅၆) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (157) Ward,အမှတ် (၁၅၇) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (158) Ward,အမှတ် (၁၅၈) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (159) Ward,အမှတ် (၁၅၉) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (16) Ward (East),အမှတ် (၁၆) (အရှေ့ပိုင်း) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (160) Ward,အမှတ် (၁၆၀) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (161) Ward,အမှတ် (၁၆၁) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (162) Ward,အမှတ် (၁၆၂) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (163) Ward,အမှတ် (၁၆၃) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (164) Ward,အမှတ် (၁၆၄) ရပ်ကွက်,,,
Yangon,Dagon Myothit (East),Dagon Myothit (East),No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
