SR,Township,Town,Ward,Ward_MMR,,,
Magway,Chauk,Chauk Town,No (15) Ward,အမှတ် (၁၅) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Magway,Chauk,Sa Lay Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Chauk,Sa Lay Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Chauk,Sa Lay Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Chauk,Sa Lay Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Chauk,Sa Lay Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Magway,Gangaw,Gangaw Town,Kyaw Taik Ward,ကျောတိုက် ရပ်ကွက်,,,
Magway,Gangaw,Gangaw Town,Myauk Kone Ward,မြောက်ကုန်း ရပ်ကွက်,,,
Magway,Gangaw,Gangaw Town,Myo Ma Ward,မြို့မ ရပ်ကွက်,,,
Magway,Gangaw,Gangaw Town,Si Pin Thar Yar Ward,စည်ပင်သာယာ ရပ်ကွက်,,,
Magway,Gangaw,Kyaw Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Gangaw,Kyaw Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Gangaw,Kyaw Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Kamma,Kamma Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Kamma,Kamma Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Kamma,Kamma Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
